fid,id,associated_tile,truth
89,3504,all_18056.tif,24
90,3674,all_18240.tif,11
91,4025,all_19546.tif,21
92,4062,all_19171.tif,11
93,4119,all_19919.tif,21
94,4194,all_20107.tif,31
95,4586,all_19174.tif,21
96,4723,all_18799.tif,11
97,4843,all_18433.tif,21
98,4854,all_18984.tif,21
99,5004,all_19732.tif,11
100,5096,all_17875.tif,21
101,5184,all_18057.tif,21
102,5263,all_17874.tif,21
103,5306,all_19362.tif,31
104,5443,all_19177.tif,21
105,5521,all_18988.tif,21
106,5625,all_18243.tif,21
107,3968,all_20851.tif,21
108,4089,all_20479.tif,23
109,5766,all_18429.tif,21
110,5767,all_17873.tif,31
111,5865,all_18614.tif,11
112,160,all_22718.tif,31
113,703,all_14163.tif,23
114,953,all_14164.tif,21
115,1368,all_21231.tif,21
116,1688,all_14348.tif,52
117,1775,all_21603.tif,23
118,1990,all_14722.tif,23
119,2691,all_14534.tif,31
120,3022,all_14350.tif,21
121,3188,all_21604.tif,23
122,3321,all_21976.tif,23
123,3703,all_14721.tif,21
124,3885,all_21602.tif,31
125,4043,all_13606.tif,21
126,4179,all_13792.tif,11
127,4535,all_13791.tif,23
128,4960,all_22161.tif,31
129,5242,all_8584.tif,52
130,5499,all_21044.tif,12
131,5623,all_21232.tif,31
132,5988,all_21790.tif,23
133,103,all_15466.tif,21
134,161,all_15092.tif,21
135,173,all_16021.tif,21
136,220,all_16024.tif,21
137,501,all_15652.tif,21
138,531,all_15464.tif,23
139,555,all_14908.tif,21
140,974,all_15835.tif,21
141,2091,all_16949.tif,21
142,2571,all_22906.tif,31
143,3023,all_15837.tif,31
144,3234,all_15094.tif,23
145,3303,all_15836.tif,31
146,3865,all_16023.tif,31
147,4610,all_22530.tif,31
148,4819,all_14720.tif,14
149,4876,all_15834.tif,23
150,5228,all_14906.tif,23
151,5313,all_15462.tif,21
152,5493,all_15463.tif,31
153,5528,all_16022.tif,23
154,132,all_16761.tif,21
155,298,all_17320.tif,21
156,647,all_17505.tif,21
157,651,all_15646.tif,21
158,725,all_16388.tif,21
159,1007,all_16396.tif,21
160,1822,all_16204.tif,21
161,1907,all_16018.tif,21
162,2556,all_15832.tif,21
163,2609,all_16207.tif,21
164,2969,all_17690.tif,21
165,4063,all_17692.tif,21
166,4362,all_16389.tif,31
167,4761,all_17507.tif,21
168,4884,all_16577.tif,21
169,4919,all_15647.tif,21
170,5320,all_17135.tif,21
171,5556,all_16575.tif,21
172,5656,all_17134.tif,21
173,5715,all_17319.tif,21
174,5947,all_16205.tif,21
175,402,all_17509.tif,21
176,1052,all_16582.tif,21
177,1122,all_17695.tif,21
178,1243,all_16765.tif,21
179,1473,all_17511.tif,12
180,1528,all_18070.tif,21
181,1534,all_16580.tif,21
182,1858,all_16393.tif,21
183,1930,all_17137.tif,21
184,1955,all_17512.tif,23
185,1993,all_17698.tif,21
186,2661,all_17884.tif,21
187,2680,all_16953.tif,21
188,2756,all_16394.tif,21
189,2827,all_17696.tif,21
190,3605,all_17138.tif,51
191,4009,all_17140.tif,21
192,4190,all_17325.tif,12
193,4906,all_16581.tif,21
194,5282,all_17694.tif,21
195,5864,all_16206.tif,23
196,0,all_18256.tif,21
197,89,all_18436.tif,21
198,335,all_18622.tif,21
199,660,all_18808.tif,21
200,686,all_17879.tif,21
201,1118,all_18065.tif,21
202,1371,all_18621.tif,21
203,1659,all_18809.tif,21
204,1677,all_18998.tif,21
205,1753,all_18993.tif,21
206,2321,all_18434.tif,21
207,2353,all_18441.tif,21
208,2770,all_18438.tif,21
209,3370,all_18248.tif,21
210,3393,all_18439.tif,21
211,3455,all_18995.tif,21
212,3638,all_18806.tif,21
213,4151,all_17881.tif,21
214,4161,all_19000.tif,21
215,4244,all_18253.tif,21
216,5159,all_18437.tif,21
217,275,all_19736.tif,23
218,1067,all_19551.tif,21
219,1207,all_19372.tif,21
220,2031,all_19553.tif,11
221,2099,all_19182.tif,23
222,2159,all_19552.tif,21
223,2382,all_19558.tif,21
224,2415,all_19181.tif,21
225,2572,all_19366.tif,21
226,2718,all_19364.tif,11
227,2733,all_19927.tif,24
228,2897,all_19550.tif,21
229,3225,all_19930.tif,21
230,3358,all_19556.tif,21
231,3713,all_19180.tif,21
232,3918,all_19371.tif,21
233,4432,all_19554.tif,11
234,4484,all_19183.tif,21
235,4841,all_19555.tif,21
236,5302,all_18255.tif,21
237,5423,all_17882.tif,21
238,600,all_20668.tif,23
239,719,all_20671.tif,23
240,887,all_20672.tif,23
241,1352,all_20298.tif,23
242,2034,all_20673.tif,21
243,2066,all_20860.tif,21
244,2453,all_20674.tif,21
245,2776,all_20296.tif,23
246,3407,all_19922.tif,21
247,3463,all_19924.tif,21
248,3653,all_20485.tif,31
249,3823,all_20109.tif,23
250,3997,all_20294.tif,23
251,4176,all_20108.tif,21
252,4192,all_20299.tif,23
253,4458,all_20112.tif,23
254,4529,all_20483.tif,23
255,4951,all_19178.tif,21
256,5232,all_19923.tif,21
257,5542,all_20115.tif,21
258,5844,all_19369.tif,21
259,7,all_20858.tif,23
260,543,all_20859.tif,23
261,1648,all_20852.tif,11
262,2105,all_21225.tif,23
263,2332,all_21227.tif,31
264,2489,all_21043.tif,23
265,2787,all_21228.tif,21
266,3419,all_21040.tif,23
267,3712,all_20857.tif,23
268,5791,all_20481.tif,23
269,243,all_9519.tif,23
270,282,all_10080.tif,23
271,306,all_12680.tif,21
272,449,all_9895.tif,23
273,460,all_14168.tif,21
274,589,all_14724.tif,21
275,595,all_13979.tif,21
276,722,all_13609.tif,21
277,739,all_13983.tif,21
278,867,all_14540.tif,23
279,890,all_13424.tif,21
280,1088,all_10637.tif,23
281,1160,all_13798.tif,21
282,1383,all_9703.tif,32
283,1585,all_10081.tif,23
284,1601,all_9888.tif,21
285,1824,all_10639.tif,23
286,1870,all_14355.tif,31
287,1923,all_10453.tif,23
288,1962,all_13050.tif,21
289,2183,all_14728.tif,11
290,2207,all_13423.tif,23
291,2425,all_13426.tif,23
292,2630,all_14537.tif,23
293,2712,all_13796.tif,31
294,2925,all_12868.tif,52
295,2981,all_13237.tif,21
296,3003,all_14354.tif,21
297,3149,all_13051.tif,21
298,3288,all_13049.tif,24
299,3317,all_10450.tif,52
300,3348,all_14539.tif,21
301,3363,all_9704.tif,23
302,3840,all_9892.tif,21
303,4143,all_9706.tif,24
304,4241,all_13795.tif,21
305,4541,all_13982.tif,21
306,4589,all_10079.tif,21
307,4694,all_10267.tif,21
308,4766,all_12865.tif,23
309,4900,all_9701.tif,24
310,4948,all_9515.tif,21
311,5036,all_9896.tif,23
312,5099,all_13611.tif,31
313,5180,all_10264.tif,42
314,5615,all_10454.tif,23
315,5801,all_9708.tif,23
316,29,all_12872.tif,23
317,186,all_11382.tif,21
318,742,all_8965.tif,42
319,841,all_14359.tif,21
320,930,all_14360.tif,21
321,960,all_12871.tif,23
322,966,all_11011.tif,31
323,1117,all_11568.tif,21
324,1301,all_13429.tif,21
325,1506,all_8586.tif,52
326,1580,all_9148.tif,31
327,1598,all_8774.tif,23
328,1693,all_11196.tif,23
329,1831,all_9151.tif,24
330,1920,all_9146.tif,23
331,2032,all_11384.tif,21
332,2182,all_12500.tif,23
333,2204,all_11010.tif,24
334,2469,all_9329.tif,52
335,2961,all_11941.tif,21
336,3233,all_12685.tif,23
337,3332,all_8772.tif,23
338,3378,all_12313.tif,24
339,3401,all_9149.tif,32
340,3444,all_8771.tif,24
341,3511,all_13430.tif,21
342,3753,all_12312.tif,52
343,4076,all_10826.tif,23
344,4178,all_8587.tif,23
345,4540,all_11012.tif,21
346,4578,all_13987.tif,21
347,4596,all_9338.tif,24
348,4812,all_11197.tif,21
349,4817,all_8588.tif,32
350,5046,all_13802.tif,31
351,5061,all_11756.tif,12
352,5089,all_13801.tif,23
353,5163,all_8963.tif,23
354,5202,all_11570.tif,11
355,5256,all_11195.tif,33
356,5291,all_8585.tif,23
357,5321,all_13980.tif,21
358,5357,all_8775.tif,31
359,5363,all_9150.tif,23
360,5570,all_14170.tif,23
361,5668,all_9145.tif,21
362,5775,all_13053.tif,31
363,26,all_21605.tif,23
364,324,all_22725.tif,23
365,401,all_21608.tif,21
366,458,all_13055.tif,21
367,468,all_22355.tif,21
368,603,all_21980.tif,23
369,728,all_21051.tif,21
370,741,all_21240.tif,12
371,746,all_22543.tif,31
372,819,all_13241.tif,21
373,820,all_13056.tif,23
374,878,all_21047.tif,21
375,962,all_22353.tif,31
376,979,all_21609.tif,21
377,1090,all_22727.tif,31
378,1138,all_22164.tif,31
379,1184,all_13986.tif,21
380,1204,all_22722.tif,31
381,1238,all_22536.tif,31
382,1364,all_12683.tif,11
383,1889,all_22169.tif,24
384,1906,all_21610.tif,21
385,2061,all_22352.tif,24
386,2101,all_14172.tif,21
387,2185,all_22541.tif,23
388,2251,all_13985.tif,21
389,2393,all_12870.tif,23
390,2800,all_21794.tif,23
391,3242,all_21796.tif,21
392,3282,all_21419.tif,31
393,3289,all_21426.tif,21
394,3342,all_21053.tif,21
395,3780,all_22537.tif,31
396,3878,all_21612.tif,21
397,3993,all_21797.tif,21
398,4187,all_21795.tif,21
399,4317,all_22166.tif,21
400,4840,all_21611.tif,21
401,5161,all_21977.tif,23
402,5177,all_12869.tif,21
403,5227,all_21427.tif,21
404,5239,all_21234.tif,21
405,5494,all_21613.tif,21
406,5608,all_21425.tif,21
407,5808,all_21421.tif,21
408,5873,all_21793.tif,11
409,5955,all_13428.tif,21
410,126,all_23472.tif,21
411,133,all_24962.tif,21
412,238,all_22907.tif,23
413,301,all_23284.tif,21
414,302,all_23656.tif,31
415,453,all_23097.tif,31
416,480,all_23654.tif,31
417,714,all_23093.tif,31
418,846,all_25706.tif,23
419,931,all_24772.tif,31
420,1127,all_23469.tif,21
421,1162,all_24217.tif,31
422,1498,all_22912.tif,21
423,1935,all_23285.tif,31
424,1939,all_23659.tif,21
425,2219,all_24032.tif,21
426,2259,all_23841.tif,21
427,2348,all_24589.tif,21
428,2392,all_23095.tif,23
429,2419,all_23842.tif,21
430,2461,all_24028.tif,21
431,2576,all_24403.tif,21
432,2588,all_22911.tif,23
433,2732,all_22915.tif,31
434,2813,all_23473.tif,21
435,2909,all_24029.tif,31
436,2941,all_25145.tif,31
437,3000,all_24401.tif,21
438,3053,all_24588.tif,23
439,3059,all_22910.tif,23
440,3145,all_24957.tif,23
441,3178,all_23096.tif,23
442,3262,all_24213.tif,31
443,3376,all_24775.tif,21
444,3471,all_23283.tif,23
445,3672,all_25144.tif,11
446,3729,all_22721.tif,23
447,3964,all_23467.tif,23
448,4251,all_23098.tif,23
449,4574,all_23658.tif,21
450,4600,all_23287.tif,23
451,4756,all_23839.tif,31
452,4828,all_23094.tif,23
453,4833,all_23101.tif,23
454,5240,all_22542.tif,21
455,5438,all_23466.tif,31
456,5529,all_23845.tif,31
457,10,all_15102.tif,31
458,305,all_26822.tif,31
459,356,all_14916.tif,31
460,579,all_15662.tif,21
461,625,all_15288.tif,31
462,1143,all_27380.tif,23
463,1199,all_14909.tif,23
464,1369,all_15848.tif,24
465,1395,all_25891.tif,21
466,1810,all_26449.tif,11
467,1856,all_26450.tif,24
468,1881,all_15845.tif,21
469,2184,all_27008.tif,12
470,2568,all_14729.tif,11
471,2858,all_23846.tif,21
472,2971,all_14546.tif,21
473,2985,all_14544.tif,31
474,3121,all_23102.tif,23
475,3158,all_14730.tif,23
476,3361,all_14732.tif,21
477,3394,all_15100.tif,21
478,3587,all_14915.tif,21
479,3700,all_14914.tif,31
480,3745,all_24398.tif,23
481,3752,all_15847.tif,21
482,3994,all_26264.tif,21
483,4160,all_21242.tif,21
484,4373,all_26075.tif,21
485,4482,all_15473.tif,31
486,4603,all_22916.tif,31
487,4653,all_28310.tif,31
488,4862,all_24776.tif,31
489,5015,all_26260.tif,21
490,5041,all_24404.tif,21
491,5066,all_15101.tif,21
492,5128,all_23288.tif,31
493,5233,all_25705.tif,21
494,5341,all_22730.tif,21
495,5489,all_26263.tif,23
496,5504,all_15472.tif,23
497,5578,all_15659.tif,21
498,5616,all_14542.tif,32
499,5713,all_26078.tif,23
500,5819,all_15475.tif,21
501,5825,all_25146.tif,21
502,5897,all_24960.tif,23
503,6014,all_15660.tif,31
504,17,all_17886.tif,21
505,61,all_17516.tif,21
506,200,all_16583.tif,21
507,314,all_17331.tif,21
508,366,all_18072.tif,11
509,570,all_17329.tif,21
510,947,all_17888.tif,21
511,1124,all_16956.tif,21
512,1470,all_16402.tif,21
513,1485,all_16957.tif,21
514,1537,all_15843.tif,24
515,1564,all_16589.tif,21
516,1886,all_16962.tif,21
517,1910,all_17700.tif,21
518,1998,all_16401.tif,23
519,2153,all_17147.tif,31
520,2256,all_16961.tif,21
521,2417,all_15842.tif,23
522,2502,all_14912.tif,23
523,2863,all_18075.tif,21
524,2939,all_16029.tif,23
525,2958,all_15839.tif,21
526,3081,all_17703.tif,21
527,3241,all_16772.tif,21
528,3610,all_17889.tif,21
529,3796,all_16212.tif,21
530,4006,all_14726.tif,11
531,4157,all_17699.tif,31
532,4198,all_16397.tif,21
533,4237,all_14353.tif,21
534,4292,all_14541.tif,21
535,4315,all_16211.tif,23
536,4701,all_16585.tif,21
537,4752,all_16769.tif,21
538,4835,all_17145.tif,21
539,4895,all_16027.tif,21
540,5153,all_16586.tif,11
541,5160,all_15657.tif,23
542,5175,all_16215.tif,21
543,5208,all_17328.tif,21
544,5466,all_15468.tif,23
545,5516,all_14352.tif,21
546,5517,all_17517.tif,21
547,5577,all_15095.tif,31
548,5590,all_16028.tif,21
549,5635,all_16399.tif,21
550,5654,all_16584.tif,21
551,38,all_19007.tif,21
552,106,all_19568.tif,21
553,118,all_19751.tif,21
554,170,all_18822.tif,21
555,511,all_20311.tif,21
556,540,all_20867.tif,21
557,586,all_20678.tif,21
558,648,all_19562.tif,31
559,793,all_18630.tif,21
560,1153,all_18817.tif,31
561,1156,all_19376.tif,31
562,1233,all_19940.tif,31
563,1280,all_19750.tif,21
564,1307,all_20681.tif,24
565,1739,all_18816.tif,21
566,2007,all_20125.tif,21
567,2010,all_19190.tif,23
568,2150,all_20865.tif,21
569,2255,all_20123.tif,21
570,2277,all_20497.tif,11
571,2451,all_20310.tif,24
572,2557,all_19191.tif,31
573,2569,all_19003.tif,21
574,2640,all_18824.tif,12
575,2982,all_19564.tif,23
576,3001,all_20864.tif,31
577,3061,all_19193.tif,31
578,3084,all_20682.tif,31
579,3095,all_19749.tif,21
580,3169,all_19934.tif,21
581,3272,all_19752.tif,31
582,3286,all_17148.tif,11
583,3356,all_19008.tif,21
584,3390,all_20684.tif,31
585,3428,all_19937.tif,21
586,3465,all_19754.tif,21
587,3483,all_19379.tif,24
588,4264,all_16404.tif,21
589,4472,all_18073.tif,21
590,4475,all_16960.tif,21
591,4684,all_16777.tif,31
592,4898,all_18815.tif,14
593,5312,all_16778.tif,21
594,5364,all_16774.tif,11
595,5895,all_18445.tif,21
596,5944,all_17149.tif,21
597,5978,all_17150.tif,21
598,571,all_18266.tif,21
599,798,all_18080.tif,21
600,954,all_20861.tif,21
601,1266,all_17707.tif,21
602,1334,all_18077.tif,31
603,1650,all_17333.tif,21
604,1802,all_18449.tif,14
605,2139,all_19187.tif,21
606,2312,all_17890.tif,21
607,2753,all_20118.tif,21
608,2765,all_17521.tif,21
609,3075,all_20676.tif,21
610,3105,all_17705.tif,21
611,3759,all_19196.tif,21
612,4180,all_17704.tif,21
613,4249,all_20863.tif,21
614,4263,all_19375.tif,31
615,4344,all_20677.tif,21
616,4391,all_18821.tif,31
617,4633,all_19195.tif,31
618,4636,all_20308.tif,21
619,4668,all_20121.tif,31
620,4748,all_20498.tif,22
621,4867,all_20309.tif,21
622,4922,all_19374.tif,21
623,4934,all_19935.tif,31
624,5030,all_20490.tif,21
625,5126,all_20119.tif,21
626,5452,all_18451.tif,31
627,5455,all_19561.tif,11
628,5566,all_19938.tif,21
629,5675,all_17893.tif,51
630,5987,all_19567.tif,31
631,143,all_5624.tif,21
632,269,all_11391.tif,21
633,318,all_10091.tif,21
634,354,all_5066.tif,24
635,387,all_5254.tif,24
636,489,all_10274.tif,23
637,520,all_4325.tif,21
638,541,all_10646.tif,21
639,587,all_10083.tif,11
640,590,all_10090.tif,21
641,622,all_5067.tif,31
642,777,all_11019.tif,23
643,869,all_4879.tif,11
644,963,all_10087.tif,23
645,1029,all_6186.tif,24
646,1123,all_9899.tif,21
647,1132,all_4512.tif,21
648,1256,all_4881.tif,24
649,1412,all_5253.tif,21
650,1679,all_5064.tif,52
651,1755,all_5439.tif,24
652,1839,all_5440.tif,24
653,1909,all_9717.tif,24
654,1937,all_10088.tif,21
655,2005,all_5251.tif,24
656,2014,all_9905.tif,23
657,2040,all_11764.tif,23
658,2135,all_5436.tif,42
659,2526,all_9906.tif,21
660,2534,all_9901.tif,23
661,2618,all_10455.tif,23
662,2652,all_12136.tif,21
663,2794,all_4136.tif,52
664,2802,all_9531.tif,23
665,2839,all_9716.tif,23
666,2895,all_4882.tif,31
667,3045,all_4140.tif,32
668,3046,all_11020.tif,23
669,3237,all_5809.tif,24
670,3302,all_5810.tif,21
671,3305,all_6370.tif,52
672,3386,all_6183.tif,24
673,3642,all_10092.tif,24
674,3651,all_10463.tif,23
675,3727,all_12135.tif,21
676,3742,all_10458.tif,31
677,3766,all_11763.tif,23
678,3777,all_5250.tif,52
679,3910,all_9711.tif,23
680,3931,all_10089.tif,23
681,3937,all_11577.tif,31
682,3965,all_4137.tif,42
683,3990,all_5998.tif,11
684,4123,all_9715.tif,23
685,4130,all_4697.tif,24
686,4138,all_10457.tif,21
687,4169,all_6000.tif,24
688,4185,all_5811.tif,24
689,4337,all_10277.tif,23
690,4367,all_5622.tif,42
691,4381,all_10271.tif,23
692,4407,all_9532.tif,24
693,4685,all_10086.tif,24
694,4713,all_5252.tif,21
695,4724,all_9904.tif,21
696,4959,all_9534.tif,21
697,4967,all_10644.tif,23
698,5185,all_4884.tif,31
699,5198,all_10269.tif,23
700,5380,all_10464.tif,23
701,5639,all_9897.tif,23
702,5662,all_5438.tif,21
703,5721,all_4694.tif,52
704,5762,all_4509.tif,21
705,18,all_13066.tif,23
706,92,all_3765.tif,24
707,265,all_13252.tif,21
708,350,all_8789.tif,42
709,351,all_2837.tif,24
710,364,all_3395.tif,21
711,371,all_3953.tif,21
712,438,all_2465.tif,21
713,635,all_13809.tif,21
714,724,all_3392.tif,42
715,1014,all_12133.tif,21
716,1046,all_11576.tif,23
717,1097,all_3022.tif,21
718,1165,all_3580.tif,24
719,1170,all_13250.tif,23
720,1176,all_11947.tif,21
721,1277,all_11018.tif,21
722,1376,all_2835.tif,23
723,1488,all_13437.tif,23
724,1573,all_9344.tif,24
725,1657,all_13996.tif,21
726,1674,all_8974.tif,42
727,1682,all_13997.tif,21
728,1691,all_10650.tif,23
729,1799,all_13436.tif,21
730,1887,all_3579.tif,21
731,1968,all_3952.tif,21
732,2103,all_2652.tif,24
733,2114,all_3396.tif,21
734,2227,all_13998.tif,21
735,2352,all_13440.tif,23
736,2434,all_8972.tif,52
737,2477,all_12508.tif,23
738,2554,all_11017.tif,23
739,2643,all_3023.tif,21
740,2832,all_3581.tif,21
741,2901,all_9160.tif,33
742,2975,all_12692.tif,23
743,3030,all_11204.tif,11
744,3080,all_13811.tif,21
745,3082,all_12879.tif,23
746,3138,all_8790.tif,31
747,3159,all_13810.tif,23
748,3193,all_3578.tif,21
749,3628,all_11575.tif,21
750,3722,all_3764.tif,21
751,3778,all_9346.tif,24
752,3879,all_11022.tif,31
753,3907,all_10832.tif,24
754,4384,all_2278.tif,24
755,4438,all_3393.tif,11
756,4469,all_9348.tif,21
757,4661,all_13438.tif,31
758,4663,all_9345.tif,23
759,4721,all_13808.tif,23
760,4776,all_2279.tif,24
761,4777,all_3394.tif,21
762,4962,all_11203.tif,23
763,5058,all_2093.tif,52
764,5167,all_12320.tif,23
765,5225,all_11021.tif,23
766,5246,all_13995.tif,21
767,5367,all_13623.tif,21
768,5439,all_10649.tif,23
769,5512,all_10833.tif,21
770,5658,all_3024.tif,21
771,5688,all_10836.tif,24
772,5826,all_2836.tif,24
773,5858,all_11207.tif,23
774,5875,all_2464.tif,23
775,5876,all_11762.tif,21
776,5933,all_3954.tif,24
777,5934,all_3951.tif,24
778,6009,all_11578.tif,21
779,51,all_10829.tif,31
780,55,all_11393.tif,23
781,56,all_13805.tif,21
782,382,all_8971.tif,52
783,459,all_11387.tif,31
784,513,all_13061.tif,21
785,573,all_7114.tif,52
786,592,all_9343.tif,14
787,599,all_25714.tif,11
788,637,all_11579.tif,23
789,759,all_7488.tif,31
790,766,all_8967.tif,42
791,876,all_14362.tif,21
792,896,all_11759.tif,31
793,983,all_24782.tif,21
794,1013,all_11766.tif,21
795,1081,all_24595.tif,51
796,1213,all_13618.tif,14
797,1221,all_6558.tif,42
798,1305,all_12695.tif,23
799,1462,all_10827.tif,23
800,1509,all_13620.tif,21
801,1670,all_9341.tif,21
802,1722,all_12875.tif,23
803,1759,all_11943.tif,21
804,1819,all_11758.tif,21
805,1933,all_24223.tif,31
806,1967,all_24786.tif,31
807,2018,all_8968.tif,42
808,2147,all_6744.tif,21
809,2264,all_14179.tif,31
810,2316,all_12504.tif,23
811,2326,all_11945.tif,21
812,2337,all_12316.tif,23
813,2340,all_11201.tif,21
814,2509,all_7302.tif,21
815,2605,all_24228.tif,21
816,2746,all_24783.tif,31
817,2762,all_12315.tif,31
818,2778,all_11388.tif,24
819,2781,all_8230.tif,21
820,2972,all_8231.tif,21
821,3012,all_11571.tif,31
822,3134,all_7116.tif,24
823,3208,all_11385.tif,23
824,3222,all_24968.tif,21
825,3229,all_12132.tif,21
826,3507,all_25711.tif,23
827,3518,all_13992.tif,23
828,3822,all_13619.tif,21
829,3892,all_11202.tif,21
830,3939,all_25153.tif,31
831,3954,all_24042.tif,23
832,4058,all_8417.tif,42
833,4140,all_25712.tif,31
834,4238,all_7673.tif,42
835,4269,all_11944.tif,24
836,4298,all_13803.tif,21
837,4319,all_12318.tif,11
838,4354,all_7859.tif,24
839,4416,all_7301.tif,21
840,4481,all_12873.tif,11
841,4650,all_12137.tif,21
842,4726,all_11573.tif,31
843,4801,all_12510.tif,21
844,5026,all_11765.tif,21
845,5082,all_8975.tif,42
846,5335,all_12130.tif,21
847,5353,all_6929.tif,11
848,5602,all_14178.tif,31
849,5742,all_8976.tif,31
850,5872,all_13245.tif,21
851,5887,all_8045.tif,52
852,5931,all_8973.tif,52
853,82,all_27201.tif,23
854,90,all_26645.tif,31
855,184,all_28316.tif,23
856,428,all_27943.tif,31
857,481,all_26084.tif,21
858,504,all_26829.tif,21
859,679,all_24779.tif,51
860,961,all_27203.tif,11
861,971,all_28692.tif,21
862,1211,all_24221.tif,31
863,1358,all_25900.tif,31
864,1440,all_24406.tif,21
865,1461,all_25335.tif,21
866,1626,all_27388.tif,24
867,1842,all_24780.tif,31
868,1849,all_24220.tif,23
869,1872,all_24594.tif,23
870,1905,all_27758.tif,21
871,1938,all_26642.tif,31
872,1966,all_25707.tif,23
873,2006,all_28501.tif,21
874,2083,all_28130.tif,31
875,2118,all_26646.tif,23
876,2155,all_26456.tif,21
877,2158,all_26271.tif,21
878,2161,all_25710.tif,21
879,2192,all_25524.tif,21
880,2288,all_26272.tif,21
881,2313,all_27757.tif,31
882,2460,all_28131.tif,23
883,2530,all_25150.tif,31
884,2923,all_26273.tif,21
885,3032,all_28319.tif,11
886,3110,all_26644.tif,21
887,3403,all_26832.tif,21
888,3423,all_26085.tif,31
889,3526,all_25523.tif,21
890,3694,all_28133.tif,31
891,3761,all_24592.tif,21
892,3799,all_24405.tif,31
893,3895,all_27944.tif,31
894,4055,all_28688.tif,11
895,4212,all_24591.tif,31
896,4258,all_27389.tif,23
897,4273,all_27571.tif,23
898,4286,all_24033.tif,31
899,4349,all_25709.tif,21
900,4505,all_25708.tif,31
901,4526,all_29246.tif,31
902,4618,all_28878.tif,11
903,4627,all_29247.tif,21
904,4656,all_27759.tif,12
905,4686,all_24597.tif,31
906,4703,all_25158.tif,31
907,4722,all_24777.tif,21
908,4826,all_24598.tif,31
909,4937,all_25343.tif,31
910,5006,all_25899.tif,31
911,5133,all_24034.tif,31
912,5152,all_27945.tif,24
913,5164,all_24596.tif,23
914,5288,all_25344.tif,51
915,5411,all_26458.tif,21
916,5430,all_24407.tif,31
917,5444,all_24409.tif,23
918,5559,all_25713.tif,21
919,5600,all_28129.tif,31
920,5690,all_24410.tif,31
921,5730,all_24036.tif,23
922,5733,all_28876.tif,12
923,5794,all_27016.tif,31
924,5885,all_24226.tif,31
925,5998,all_25715.tif,11
926,6017,all_27574.tif,11
927,201,all_23847.tif,11
928,212,all_26267.tif,21
929,444,all_26826.tif,23
930,483,all_23661.tif,21
931,490,all_23480.tif,21
932,529,all_26638.tif,23
933,633,all_21623.tif,21
934,753,all_26455.tif,21
935,804,all_22917.tif,31
936,829,all_26639.tif,21
937,976,all_23663.tif,21
938,1064,all_21062.tif,21
939,1078,all_21437.tif,21
940,1101,all_26265.tif,21
941,1163,all_21806.tif,21
942,1181,all_23479.tif,21
